sepalLength	sepalWidth
12:00:49	4/4/17
12:00:57	4/4/17
12:01:09	4/4/17
12:01:31	4/4/17
13:01:39	4/5/17
13:01:45	4/5/17
13:02:19	4/5/17
13:02:27	4/5/17
13:02:38	4/5/17
11:33:15	4/6/17
11:35:05	4/6/17
11:35:10	4/6/17
11:35:28	4/6/17
11:36:09	4/6/17
12:06:14	4/7/17
12:06:23	4/7/17
12:06:30	4/7/17
12:06:37	4/7/17
12:06:55	4/7/17
12:07:00	4/7/17
12:07:38	4/7/17
12:07:41	4/7/17
12:08:18	4/8/17
14:08:22	4/8/17
14:08:31	4/8/17
14:08:36	4/8/17
14:08:47	4/8/17
14:08:56	4/8/17
14:08:58	4/8/17
14:09:07	4/8/17
14:09:19	4/8/17
