Weekday,old-date,Time,Date,Resistance,Voltage,Wattage,Duration,MvrVV,MvrVW
Weekday,4/4/17,12:0:49,17-04-04 12:00:49,2.7ohm,3.3,4,4.5,0,0
Weekday,4/4/17,12:0:57,17-04-04 12:00:57,2.7ohm,3.3,4,4.9,0,0
Weekday,4/4/17,12:1:9,17-04-04 12:01:09,2.7ohm,3.3,4,5,0,0
Weekday,4/4/17,12:1:31,17-04-04 12:01:31,2.7ohm,3.3,4,0.7,0,0
Weekday,4/5/17,13:1:39,17-04-05 13:01:39,2.7ohm,3.3,4,4.4,0,0
Weekday,4/5/17,13:1:45,17-04-05 13:01:45,2.7ohm,3.3,4,3.1,0,0
Weekday,4/5/17,13:2:19,17-04-05 13:02:19,2.7ohm,3.6,4.8,4.4,0,0
Weekday,4/5/17,13:2:27,17-04-05 13:02:27,2.7ohm,3.6,4.8,4.2,0,0
Weekday,4/5/17,13:2:38,17-04-05 13:02:38,2.7ohm,3.6,4.8,4.6,0,0
Weekday,4/6/17,11:33:15,17-04-06 11:33:15,2.7ohm,3,3.3,2.6,0,1
Weekday,4/6/17,11:35:5,17-04-06 11:35:05,2.7ohm,3,3.3,2.7,0,1
Weekday,4/6/17,11:35:10,17-04-06 11:35:10,2.7ohm,3,3.3,2.4,0,1
Weekday,4/6/17,11:35:28,17-04-06 11:35:28,2.7ohm,3,3.3,2.9,0,1
Weekday,4/6/17,11:36:9,17-04-06 11:36:09,2.7ohm,3,3.3,1.5,0,1
Weekend,4/7/17,12:6:14,17-04-07 12:06:14,2.7ohm,3,3.3,1.5,0,1
Weekend,4/7/17,12:6:23,17-04-07 12:06:23,2.7ohm,3,3.3,2.4,0,1
Weekend,4/7/17,12:6:30,17-04-07 12:06:30,2.7ohm,3,3.3,2.8,0,1
Weekend,4/7/17,12:6:37,17-04-07 12:06:37,2.7ohm,3,3.3,2.8,0,1
Weekend,4/7/17,12:6:55,17-04-07 12:06:55,2.7ohm,3,3.3,3.2,0,1
Weekend,4/7/17,12:7:0,17-04-07 12:07:00,2.7ohm,3,3.3,2.3,0,1
Weekend,4/7/17,12:7:38,17-04-07 12:07:38,2.7ohm,3,3.3,0.6,0,1
Weekend,4/7/17,12:7:41,17-04-07 12:07:41,2.7ohm,3,3.3,0.1,0,1
Weekend,4/8/17,12:8:18,17-04-08 12:08:18,2.7ohm,3,3.3,2.3,0,1
Weekend,4/8/17,14:8:22,17-04-08 14:08:22,2.7ohm,3,3.3,1.9,0,1
Weekend,4/8/17,14:8:31,17-04-08 14:08:31,2.7ohm,3,3.3,1.7,0,1
Weekend,4/8/17,14:8:36,17-04-08 14:08:36,2.7ohm,3,3.3,2.4,0,1
Weekend,4/8/17,14:8:47,17-04-08 14:08:47,2.7ohm,3,3.3,3.1,0,1
Weekend,4/8/17,14:8:56,17-04-08 14:08:56,2.7ohm,3,3.3,1.7,0,1
Weekend,4/8/17,14:8:58,17-04-08 14:08:58,2.7ohm,3,3.3,1.3,0,1
Weekend,4/8/17,14:9:7,17-04-08 14:09:07,2.7ohm,3,3.3,4.5,0,1
Weekend,4/8/17,14:9:19,17-04-08 14:09:19,2.7ohm,3,3.3,3.1,0,1
